,Tweets,len,ID,Date,Source,Likes,RT
0,NDA Government is honoured to have undertaken numerous steps for the wellbeing of the middle class. From a friendli… https://t.co/2cTfnoj8pE,140,1092709705909071872,2019-02-05 09:01:10,Twitter Web Client,14005,3223
1,"India is home to a dynamic middle class, which is making an outstanding contribution to the nation’s progress. The… https://t.co/wDnUggrKSO",139,1092709704340402176,2019-02-05 09:01:09,Twitter Web Client,19746,4303
2,"Today, on #WorldCancerDay we reiterate our commitment towards ensuring early detection and affordable treatment of… https://t.co/vaUfxBQrJD",139,1092355257496027136,2019-02-04 09:32:43,Twitter Web Client,13104,2508
3,"Congratulated @DrKrishanMiddha Ji for the remarkable win in Jind. 

Over the years, the people of Haryana have been… https://t.co/HsS3BaMjbE",140,1092353308654620672,2019-02-04 09:24:58,Twitter Web Client,19282,3314
4,"I salute all those who are valiantly fighting cancer. Millions are inspired by their remarkable zeal.

I also appre… https://t.co/SWpWjuoYJH",140,1092352936825344000,2019-02-04 09:23:29,Twitter Web Client,28141,5306
5,"The iconic Dal Lake is mesmerising! 

Had the opportunity to visit the lake during my visit to Srinagar. https://t.co/3H5CDPsbXq",128,1092099890132516869,2019-02-03 16:37:58,Twitter Web Client,29022,4803
6,"Had the wonderful opportunity of interacting with Sarpanchs from across Jammu and Kashmir. 

I admire these remarka… https://t.co/CfssI1Eeka",140,1092099517367939072,2019-02-03 16:36:29,Twitter Web Client,11171,2475
7,"The NDA Government has made sincere efforts to enhance the prosperity of farmers.

All the Congress could do for ye… https://t.co/gAwVuzO3ND",140,1092098681325654017,2019-02-03 16:33:10,Twitter Web Client,11959,3039
8,People from all walks of life came to bless the BJP during the rally in Jammu. Here are some glimpses. @BJP4JnK https://t.co/pRoHzpLI6i,135,1092098334431559680,2019-02-03 16:31:47,Twitter Web Client,8412,2047
9,"Youth of Jammu and Kashmir want peace and development. 

The ethos of this land is all about harmony and brotherhoo… https://t.co/KfIrnMYqEC",140,1092097522904948739,2019-02-03 16:28:34,Twitter Media Studio,11027,2566
10,"The Central Government attaches immense priority towards energy, education, healthcare and infrastructure related w… https://t.co/hqa02OEQE6",140,1092097380848099328,2019-02-03 16:28:00,Twitter Media Studio,9647,2125
11,"The last few months have witnessed an increase in the pace of development in Jammu and Kashmir. 

Projects that wer… https://t.co/kmVoeVLj4y",140,1092097258139508736,2019-02-03 16:27:31,Twitter Media Studio,10019,2308
12,"In Leh, talked at length about an important decision of the Government that will have a positive impact on the live… https://t.co/K2pCjZDnl3",140,1092097052069117952,2019-02-03 16:26:42,Twitter Media Studio,7068,1706
13,"The beauty of Leh, Ladakh draws people from all over the world. 

Today, I had the opportunity to visit this vibran… https://t.co/kU17KlrISv",140,1092096773944954881,2019-02-03 16:25:35,Twitter Web Client,20867,4035
14,Interacting with students from across the country from Srinagar. Join us! https://t.co/kKIg8du0Zh,97,1092014636746985472,2019-02-03 10:59:12,Periscope,12643,2958
15,BJP and Jammu have a strong bond. Addressing a rally. Watch. https://t.co/rdtSKyJKs3,84,1091966026995003395,2019-02-03 07:46:03,Periscope,13082,3086
16,"RT @BJP4India: Every section of society has been empowered, every aspect of the nation has been strengthened by the Modi government over th…",140,1091942066169438208,2019-02-03 06:10:50,Twitter for iPhone,0,3430
17,Participative democracy is an article of faith for our party. We have always worked to be an effective voice for ri… https://t.co/ZTAw1Y3Rt2,140,1091935581377101824,2019-02-03 05:45:04,Twitter Web Client,19295,4304
18,"Your voice is of utmost importance. 

Urging you all to take part in 'Bharat ke Mann ki Baat, Modi ke Saath’, a uni… https://t.co/iVLWtgcFiA",140,1091935382009270272,2019-02-03 05:44:16,Twitter Web Client,21276,5379
19,Delighted to be in Leh. Addressing a public meeting. https://t.co/s4BEV8naRA,76,1091919652341538817,2019-02-03 04:41:46,Periscope,10773,2480
20,Deeply anguished by the loss of lives due to the derailment of coaches of the Seemanchal Express. My thoughts are w… https://t.co/AhEx23paBp,140,1091916337180491776,2019-02-03 04:28:36,Twitter for iPhone,13635,2903
21,"Even a large stadium was too small for the sisters and brothers who joined us in Durgapur.

Thank you, your blessin… https://t.co/pMdNzLFh2h",140,1091719835699032064,2019-02-02 15:27:46,Twitter Web Client,35624,7857
22,"My battle against corruption has ruffled many feathers, including TMC.

So, they all assembled in Kolkata and colle… https://t.co/kj73vmeJpc",140,1091718392141230080,2019-02-02 15:22:02,Twitter Media Studio,24934,6266
23,"In West Bengal:

If one wants to study- Triple T.

If one wants a job- Triple T.

If one want to lead a life of pea… https://t.co/I3ZUVTW0US",140,1091718012217016320,2019-02-02 15:20:31,Twitter Media Studio,13653,3976
